uid,Cond,ErrorRegion,Stage,nObs,ModelMass,MeanRT,Q10RT,MedianRT,Q90RT
PG,S4C2NR,Shoulder,H0a POPCDM,NaN,1.61467589221525,1.38775333414796,1.08000008624415,1.34000008624415,1.74000008624415
PG,S4C2NR,Tail,Observed,17,NaN,1.65466470606187,1.20000000019074,1.51630000019073,2.35047999992371
PG,S4C2NR,Tail,H0a POPCDM,NaN,0.198070776790406,1.38063455312053,1.08000008624415,1.34000008624415,1.73000008624415
PG,S4C2R,Central,Observed,385,NaN,1.36461766232082,1.06889999961853,1.3212999997139,1.68530000019073
PG,S4C2R,Central,H0a POPCDM,NaN,6.17524618266753,1.37545117166976,1.08000008624415,1.33000008624415,1.72000008624415
PG,S4C2R,Shoulder,Observed,105,NaN,1.42617142856235,1.08060000038147,1.368,1.79569999980927
PG,S4C2R,Shoulder,H0a POPCDM,NaN,1.61985607565949,1.38786525382039,1.08000008624415,1.34000008624415,1.74000008624415
PG,S4C2R,Tail,Observed,9,NaN,1.53043333318499,1.10622000007629,1.44819999980927,2.11411999988556
PG,S4C2R,Tail,H0a POPCDM,NaN,0.114182702150796,1.38256466464375,1.08000008624415,1.34000008624415,1.74000008624415
PG,S4C4NR,Central,Observed,256,NaN,1.3823929687459,1.07100999999046,1.34765000009537,1.75535
PG,S4C4NR,Central,H0a POPCDM,NaN,4.84304235051741,1.37555805492207,1.08000008624415,1.33000008624415,1.72000008624415
PG,S4C4NR,Shoulder,Observed,152,NaN,1.38210460529202,1.04140999999046,1.35435000014305,1.77639999985695
PG,S4C4NR,Shoulder,H0a POPCDM,NaN,1.53217668124488,1.38586890997535,1.08000008624415,1.34000008624415,1.74000008624415
PG,S4C4NR,Tail,Observed,92,NaN,1.50859891306317,1.16051999974251,1.42755000019074,1.99875000009537
PG,S4C4NR,Tail,H0a POPCDM,NaN,1.53406592871552,1.37834661986474,1.08000008624415,1.34000008624415,1.73000008624415
PG,S6C2NR,Central,Observed,340,NaN,1.37875147060226,1.0607999997139,1.36085000014305,1.74
PG,S6C2NR,Central,H0a POPCDM,NaN,6.10530361707633,1.43409892171655,1.11000008624415,1.39000008624415,1.81000008624415
PG,S6C2NR,Shoulder,Observed,141,NaN,1.37711985817023,1.09437999982834,1.349,1.782
PG,S6C2NR,Shoulder,H0a POPCDM,NaN,1.63528322091288,1.44860762048345,1.12000008624415,1.40000008624415,1.84000008624415
PG,S6C2NR,Tail,Observed,18,NaN,1.47898888905843,1.16395999984741,1.36140000009536,1.86580999994278
PG,S6C2NR,Tail,H0a POPCDM,NaN,0.162312492323574,1.44117092606731,1.12000008624415,1.39000008624415,1.83000008624415
PG,S6C2R,Central,Observed,386,NaN,1.42443082900616,1.11219999985695,1.39145000004768,1.77094999995231
PG,S6C2R,Central,H0a POPCDM,NaN,6.12907599953351,1.43409710656112,1.11000008624415,1.39000008624415,1.81000008624415
PG,S6C2R,Shoulder,Observed,104,NaN,1.47153461542496,1.15448000001907,1.4395499997139,1.79436000051498
