index,r,g,b
79,254.99999999999997,181.32155218653955,0.0
80,254.99999999999997,182.48726141181396,0.0
81,254.99999999999997,183.65246585064017,0.0
82,254.99999999999997,184.81674994951064,0.0
83,254.99999999999997,185.97970563700207,0.0
84,254.99999999999997,187.14093228133484,0.0
85,254.99999999999997,188.30003663826636,0.0
86,254.99999999999997,189.45663279022003,0.0
87,254.99999999999997,190.61034207750808,0.0
88,254.99999999999997,191.76079302245608,0.0
89,254.99999999999997,192.90762124718864,0.0
90,254.99999999999997,194.0504693857919,0.0
91,254.99999999999997,195.18898699152396,0.0
92,254.99999999999997,196.3228304397067,0.0
93,254.99999999999997,197.4516628268843,0.0
94,254.99999999999997,198.57515386680905,0.0
95,253.34239611152933,199.69297978376582,0.0
96,251.17098499474736,200.8048232037242,0.0
97,248.9667858589986,201.91037304376914,0.0
98,246.7295517849812,203.00932440023166,0.0
99,244.45901298189182,204.10137843591633,0.0
100,242.1548749732325,205.18624226679168,0.0
101,239.816816620643,206.26362884848592,0.0
102,237.444487967054,207.33325686291073,0.0
103,235.03750787788758,208.3948506053053,0.0
104,232.59546145601857,209.44813987198282,0.0
105,230.11789720273396,210.49285984903298,0.0
106,227.60432389283903,211.5287510022237,0.0
107,225.05420712729506,212.55555896831922,0.0
108,222.46696552113752,213.5730344480282,0.0
109,219.84196647781707,214.58093310076688,0.0
110,217.1785214932388,215.57901544141842,0.0
111,214.47588092345364,216.56704673925313,0.0
112,211.73322813882064,217.54479691915924,0.0
113,208.94967297410304,218.5120404653276,0.0
114,206.12424436790664,219.46855632751632,0.0
115,203.25588206542054,220.4141278300178,0.0
116,200.34342723482263,221.34854258343472,0.0
117,197.38561181885046,222.27159239936663,0.0
118,194.3810464076294,223.1830732080957,0.0
119,191.32820637507956,224.0827849793576,0.0
120,188.22541596687563,224.97053164626854,0.0
121,185.0708299599415,225.84612103247744,0.0
122,181.86241242787702,226.70936478260217,0.0
123,178.59791203819563,227.56007829600142,0.0
124,175.27483316857465,228.39808066392808,0.0
125,171.89040195067642,229.2231946101043,0.0
126,168.44152611795363,230.03524643474762,0.0
127,164.92474722929686,230.83406596207834,0.0
128,161.3361834368603,231.61948649132574,0.0
129,157.67146042584307,232.39134475124783,0.0
